Drug Reaction,stop irritation & stop taking drug,consult nearest hospital & follow up,Do Apaan Mudra,Balasana and Anuloma-Viloma are best yogasanas
Malaria,Consult nearest hospital & keep mosquitos out,avoid oily food & avoid non veg food,Do Prana Mudra,Vajrasana and Bhastrika pranayama are best yogasanas 
Allergy,apply calamine & use ice to compress itching,cover area with bandage,Do Bhramara Mudra,Vrikshasana and Salamba Sarvangasana are best yogasanas 
Hypothyroidism,reduce stress & get proper sleep,Exercise & eat healthy,Do Gyan Mudra,Sarvangasana  and Ustrasana are best yogasanas 
Psoriasis,wash hands with warm soapy water & consult doctor,stop bleeding using pressure & salt baths,Do Apana Mudra,Balasana and Standing Forward Fold are best yogasanas 
GERD,avoid fatty spicy food & maintain healthy weight,avoid lying down after eating & exercise,Do Apana Vayu Mudra,Vibhaga pranayama and Madhya pranayama are best yogasanas 
Chronic cholestasis,cold bath & consult doctor,anti itch medicine & eat healthy,Do Prithvi Mudra,Dhanurasana or Bow Pose and Ardha Matsyendrasana are best yogasanas 
hepatitis A,Consult nearest hospital & avoid fatty spicy food,wash hands through & medication,Do Prana Mudra,Shalabasana and Marjariasana are best yogasanas 
Osteoarthristis,Acetaminophen & follow up,consult nearest hospital & salt bath,Do Prithvi Mudra,Tadasana and Warrior II pose are best yogasanas
(vertigo) Paroymsal  Positional Vertigo,lie down & avoid abrupt head movment,avoid sudden change in body & relax,Do Shunya Mudra,Nadi Shodhan Pranayama and Salamba Sirsasana are best yogasanas 
Hypoglycemia,lie down on side & drink sugary drinks,check in pulse & consult doctor,Do Surya Mudra,Adomukhi Svanasana are best yogasana
Acne,bath twice & drink plenty of water,avoid fatty spicy food & avoid too many products,Do Varun Mudra,Chakrasana and Padmasana are best yogasanas 
Diabetes ,have balanced diet & consult doctor,Exercise & follow up,Do Linga Mudra,Sun Salutations are best yogasanas 
Impetigo,soak affected area in warm water & consult doctor,use antibiotics & remove scabs with wet compressed cloth,Do Prana Mudra,Sun Salutations are best yogasanas
Hypertension ,Meditation & reduce stress,salt bath & get proper sleep,Do Aakash Mudra,Balasana and Paschimottanasana  are best yogasanas 
Peptic ulcer diseae,avoid fatty spicy food & eliminate milk,consume probiotic food & limit alcohol,Do Prana Mudra,Kapalbhati Pranayama are best yogasanas 
Dimorphic hemmorhoids(piles),avoid fatty spicy food & warm bath with epsom salt,consume witch hazel & consume alovera juice,Do Ashwini Mudra,Balsana are best yogasana
Common Cold,drink vitamin c rich drinks & avoid cold food,take vapour & keep fever in check,Do Linga Mudra,Uttanasana and Ustrasana are best yogasanas
Chicken pox,use neem in bathing & take vaccine,consume neem leaves & avoid public places,Do Yoni Mudra,Sun Salutations are best yogasanas 
Cervical spondylosis,use heating pad or cold pack & consult doctor,Exercise & take otc pain reliver,Do Brahma Mudra,Savitriasana and Sukhasana are best yogasanas 
Hyperthyroidism,eat healthy & use lemon balm,Massage & take radioactive iodine treatment,Do Gyan Mudra,Sarvangasana and Ustrasana are best yogasanas 
Urinary tract infection,drink plenty of water & drink cranberry juice,increase vitamin c intake & take probiotics,Do Ashwini Mudra,Surya Namaskara and Pranayama are best yogasanas 
Varicose veins,lie down flat and raise the leg high & dont stand still for long,use oinments & use vein compression,Do Viparita Karani Mudra,Malasana and Tadasana are best yogasanas
AIDS,avoid open cuts & consult doctor,wear ppe if possible & follow up,Do Prana Mudra,Standing Chakrasana and  Kapalbhati pranayam are best yogasanas 
Paralysis (brain hemorrhage),Massage & exercise,eat healthy & consult doctor,Do Hastha Mudra,Uttanapadasana and Vakrasana are best yogasanas 
Typhoid,eat high calorie vegitables & medication,antiboitic therapy & consult doctor,Do Surya Mudra,Kapalbhati Pranayama are best yogasanas 
Hepatitis B,consult nearest hospital & eat healthy,Vaccination & medication,Do Prana Mudra,Shalabasana  and Marjariasana are best yogasanas 
Fungal infection,bath twice & keep infected area dry,use detol or neem in bathing water & use clean cloths,Do Hastha Mudra,Surya Namskar are best yogasanas
Hepatitis C,Consult nearest hospital & eat healthy,Vaccination & medication,Do Prana Mudra,Shalabasana  and Marjariasana are best yogasanas
Migraine,Meditation & use poloroid glasses in sun,reduce stress & consult doctor,Do Mahasirs Mudra,Balasan is best yogasana
Bronchial Asthma,switch to loose cloothing & seek help,take deep breaths & get away from trigger,Do Bronchial Mudra,Uttanasana and Trikonasana are best yogasanas
Alcoholic hepatitis,stop alcohol consumption & follow up,consult doctor & medication,Do Prana Mudra,Bhujangasana are best yogasanas
Jaundice,drink plenty of water & eat fruits and high fiberous food,consume milk thistle & medication,Do Prana Mudra,Matsya Asana and padmasana are best yogasanas
Hepatitis E,stop alcohol consumption & consult doctor,Rest & medication,Do Prana Mudra,Shalabasana and Marjariasana are best yogasanas
Dengue,drink papaya leaf juice & keep mosquitos away,avoid fatty spicy food & keep hydrated,Do Prithvi Mudra,Dandasana and Paschimottanasana are best yogasanas 
Hepatitis D,consult doctor & follow up,Medication & eat healthy,Do Prana Mudra,Shalabasana and Marjariasana are best yogasanas 
Heart attack,call ambulance & keep calm,chew or swallow asprin,Do Apana Vayu Mudra,Tadasana and Utkatasana  are best yogasanas 
Pneumonia,consult doctor & rest,Medication & follow up,Do Surya Mudra,Sukhasana are best yogasanas
Arthritis,Exercise & try acupuncture,use hot and cold therapy & massage,Do Prithvi Mudra,Virabhadrasana and Vrikshasana are best yogasanas 
Gastroenteritis,stop eating solid food for while & rest,try taking small sips of water & ease back into eating,Do Pushan Mudra,Vajrasana and Padahasthasana are best yogasanas
Tuberculosis,cover mouth & medication,consult doctor & rest,Do Shivalinga Mudra,Bhujangasana are best yogasanas 
